chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,face_shape
66.77,53.36,73.94,-1.7281,3.9457,-0.6996,0.7819,3.0105,-0.2527,2.3538,-0.5948,-0.7607,Oblong_face_shape
70.79,56.58,65.27,-1.4182,4.4528,-0.6731,0.677,3.6218,-0.213,2.4519,-0.5222,-0.7713,Oblong_face_shape
71.6,57.43,76.54,-1.8326,4.5293,-0.6315,0.5777,2.9333,-0.311,1.6945,-0.527,-0.9123,Oblong_face_shape
74.6,59.4,87.91,-1.2558,4.8767,-0.6168,0.6046,2.2257,-0.4534,1.3456,-0.6101,-1.0091,Oblong_face_shape
61.17,45.79,61.22,-2.3405,3.1546,-0.8067,1.0797,7.0652,-0.0888,7.6281,-0.6774,-0.6274,Oblong_face_shape
72.77,59.35,75.96,-2.1408,3.9248,-0.7203,0.6235,2.4976,-0.3974,1.5573,-0.6189,-0.9925,Oblong_face_shape
77.61,63.28,72.57,-1.841,4.1665,-0.7119,0.6699,2.5591,-0.3293,1.7145,-0.5645,-0.8426,Oblong_face_shape
58.73,45.51,53.41,-1.7178,3.8208,-0.7544,0.778,4.9929,-0.1364,3.8844,-0.5298,-0.681,Oblong_face_shape
70.98,58.51,67.86,-1.4272,4.3273,-0.75,0.6558,3.2041,-0.2474,2.1012,-0.5199,-0.7927,Oblong_face_shape
57.42,43.08,74.62,-2.242,3.5964,-0.7171,0.6044,2.3056,-0.5028,1.3936,-0.7007,-1.1593,Oblong_face_shape
62.52,48.45,76.93,-1.7522,4.2958,-0.6552,0.768,2.5574,-0.2974,1.964,-0.5841,-0.7605,Oblong_face_shape
70.7,57.71,63.73,-1.3471,4.3768,-0.7329,0.6492,3.7966,-0.2046,2.4647,-0.5043,-0.7768,Oblong_face_shape
74.78,61.35,71.6,-0.7693,7.3648,-0.506,0.3848,3.6294,-0.2387,1.3967,-0.3334,-0.8663,Oblong_face_shape
55.66,40.01,76.8,-1.4836,4.4574,-0.6096,0.5712,2.3688,-0.4673,1.3529,-0.6323,-1.107,Oblong_face_shape
64.06,50.43,77.18,-1.3896,4.5779,-0.6658,0.6423,2.5341,-0.335,1.6275,-0.5453,-0.849,Oblong_face_shape
63.49,50.77,71.72,-1.661,2.9228,-0.9982,0.7515,1.9588,-0.5815,1.4721,-0.856,-1.139,Round_face_shape
70.12,56.23,68.84,-1.969,2.6524,-1.069,0.7621,1.9224,-0.6035,1.4651,-0.8842,-1.1602,Round_face_shape
67.79,52.29,77.04,-1.9266,2.8094,-0.9511,0.6842,1.8744,-0.6831,1.2825,-0.8761,-1.2804,Round_face_shape
67.17,53.97,72.95,-1.578,3.2724,-0.9175,0.6061,1.9642,-0.6483,1.1904,-0.7718,-1.2735,Round_face_shape
66.61,52.17,79.38,-2.2621,2.9531,-0.8994,0.6581,1.8775,-0.7046,1.2356,-0.8706,-1.3229,Round_face_shape
71.51,56.92,80.74,-3.908,1.837,-1.1901,0.914,1.6698,-0.7901,1.5262,-1.2059,-1.3194,Round_face_shape
66.41,52.0,77.94,-3.6961,2.8643,-0.8003,0.6783,1.9121,-0.6648,1.297,-0.8622,-1.2712,Round_face_shape
69.49,58.39,84.29,-3.2537,3.0594,-0.7278,0.6107,1.8541,-0.6859,1.1323,-0.7766,-1.2717,Round_face_shape
74.65,63.1,82.39,-1.829,3.6337,-0.8429,0.5366,1.7131,-0.8574,0.9193,-0.7882,-1.4689,Round_face_shape
57.17,46.67,65.77,-2.9198,2.9018,-0.8324,0.6361,2.0442,-0.6189,1.3004,-0.8049,-1.2653,Round_face_shape
71.13,60.21,71.47,-3.5933,3.1085,-0.8202,0.6188,2.1859,-0.4853,1.3527,-0.6564,-1.0607,Round_face_shape
70.55,57.87,72.37,-3.6519,2.8598,-0.824,0.7226,2.3444,-0.4412,1.6939,-0.7474,-1.0343,Round_face_shape
74.06,63.76,76.01,-1.7997,3.6161,-0.8727,0.581,1.9247,-0.5845,1.1183,-0.6536,-1.1249,Round_face_shape
70.79,59.07,85.05,-3.5305,2.2027,-1.0586,0.6986,1.6583,-0.947,1.1585,-1.097,-1.5704,Round_face_shape
83.23,71.05,76.7,-1.4551,3.8154,-0.9258,0.4953,1.8544,-0.7459,0.9184,-0.685,-1.3831,Round_face_shape
70.81,55.53,94.88,-2.8866,3.9899,-0.6026,0.6238,2.2097,-0.4716,1.3785,-0.6501,-1.042,Round_face_shape
70.46,59.49,81.36,-3.8284,2.2808,-1.018,0.6678,1.8448,-0.7843,1.232,-0.9663,-1.4469,Round_face_shape
68.87,55.74,75.82,-2.1681,3.2696,-0.841,0.6968,2.6707,-0.3818,1.8609,-0.7105,-1.0197,Round_face_shape
71.64,59.13,75.92,-3.6648,2.9547,-0.8171,0.7975,2.5063,-0.3535,1.9989,-0.7066,-0.886,Round_face_shape
