chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,face_shape
62.35,45.86,82.13,-1.3566,3.678,-0.8169,0.6642,1.8612,-0.6512,Oval_face_shape
65.12,50.34,70.8,-1.8311,2.8597,-0.9626,0.8105,2.2188,-0.4609,Oval_face_shape
60.26,44.19,52.79,-1.6239,3.5131,-0.896,1.1024,53.2125,-0.01,Oval_face_shape
67.75,51.91,67.18,-2.299,2.7678,-0.9647,0.9587,3.7653,-0.2207,Oval_face_shape
64.44,50.33,62.2,-1.4728,3.3844,-0.9366,0.8178,2.9413,-0.2693,Oval_face_shape
68.95,53.02,64.82,-1.6107,3.3511,-0.8762,0.8329,3.0117,-0.2801,Oval_face_shape
69.07,52.74,64.42,-1.5816,3.5617,-0.9047,0.7316,2.9297,-0.3046,Oval_face_shape
64.14,50.12,65.96,-1.5418,3.3756,-0.9141,0.8135,2.5888,-0.3394,Oval_face_shape
65.38,48.81,71.2,-1.3519,4.3545,-0.7074,0.7245,3.2705,-0.2301,Oval_face_shape
69.15,57.03,76.68,-1.8271,3.1018,-0.8983,0.714,2.1741,-0.4923,Oval_face_shape
65.97,51.98,60.2,-1.2266,4.2305,-0.818,0.6861,3.2121,-0.257,Oval_face_shape
63.1,46.41,59.0,-1.6772,3.1625,-0.9288,0.836,3.4293,-0.2505,Oval_face_shape
67.83,52.13,67.63,-2.3292,2.7225,-0.9995,0.8976,2.36,-0.4158,Oval_face_shape
65.33,51.3,73.5,-1.9986,2.7417,-1.0543,0.7517,2.133,-0.5356,Oval_face_shape
67.89,54.66,75.46,-1.7166,2.7324,-1.1363,0.7931,1.8754,-0.6382,Oval_face_shape
59.74,47.12,56.6,-1.5387,3.7137,-0.7769,0.7942,4.5359,-0.1597,Oval_face_shape
68.55,54.46,71.33,-1.3494,3.964,-0.8084,0.642,2.3548,-0.4185,Oval_face_shape
68.5,53.44,75.3,-1.4383,3.338,-0.934,0.8016,2.2564,-0.4413,Oval_face_shape
66.37,49.76,75.26,-1.2368,4.1712,-0.6811,0.781,3.8536,-0.2118,Oval_face_shape
61.43,47.86,57.37,-1.4243,3.4695,-0.9663,0.8413,4.2831,-0.1721,Oval_face_shape
70.88,56.74,74.38,-1.6258,3.1343,-0.9907,0.8218,2.2001,-0.4304,Oval_face_shape
69.4,54.73,70.18,-1.6271,3.6307,-0.7915,0.6556,2.4267,-0.4357,Oval_face_shape
65.42,50.03,66.12,-2.0029,3.9945,-0.654,0.7195,5.9622,-0.1244,Oval_face_shape
64.88,51.89,68.48,-1.2974,5.0227,-0.6066,0.5778,3.6145,-0.2223,Oval_face_shape
64.29,50.31,53.86,-2.2754,2.5179,-1.08,0.9348,3.6278,-0.2349,Oval_face_shape
68.96,52.31,78.25,-2.5554,3.3025,-0.7233,0.687,2.4998,-0.4275,Oval_face_shape
68.96,51.01,75.22,-1.3616,4.4974,-0.6901,0.5874,2.7154,-0.3763,Oval_face_shape
59.86,42.89,64.19,-1.586,3.2536,-0.8499,0.7205,2.8691,-0.3619,Oval_face_shape
59.09,42.31,86.7,-0.9741,5.5627,-0.5558,0.4619,1.8981,-0.697,Oval_face_shape
63.49,50.77,71.72,-1.661,2.9228,-0.9982,0.7515,1.9588,-0.5815,Round_face_shape
70.12,56.23,68.84,-1.969,2.6524,-1.069,0.7621,1.9224,-0.6035,Round_face_shape
67.79,52.29,77.04,-1.9266,2.8094,-0.9511,0.6842,1.8744,-0.6831,Round_face_shape
67.17,53.97,72.95,-1.578,3.2724,-0.9175,0.6061,1.9642,-0.6483,Round_face_shape
66.61,52.17,79.38,-2.2621,2.9531,-0.8994,0.6581,1.8775,-0.7046,Round_face_shape
71.51,56.92,80.74,-3.908,1.837,-1.1901,0.914,1.6698,-0.7901,Round_face_shape
66.41,52.0,77.94,-3.6961,2.8643,-0.8003,0.6783,1.9121,-0.6648,Round_face_shape
69.49,58.39,84.29,-3.2537,3.0594,-0.7278,0.6107,1.8541,-0.6859,Round_face_shape
74.65,63.1,82.39,-1.829,3.6337,-0.8429,0.5366,1.7131,-0.8574,Round_face_shape
57.17,46.67,65.77,-2.9198,2.9018,-0.8324,0.6361,2.0442,-0.6189,Round_face_shape
71.13,60.21,71.47,-3.5933,3.1085,-0.8202,0.6188,2.1859,-0.4853,Round_face_shape
70.55,57.87,72.37,-3.6519,2.8598,-0.824,0.7226,2.3444,-0.4412,Round_face_shape
74.06,63.76,76.01,-1.7997,3.6161,-0.8727,0.581,1.9247,-0.5845,Round_face_shape
70.79,59.07,85.05,-3.5305,2.2027,-1.0586,0.6986,1.6583,-0.947,Round_face_shape
83.23,71.05,76.7,-1.4551,3.8154,-0.9258,0.4953,1.8544,-0.7459,Round_face_shape
